54,29
20,74
28,236
104,-66
19,161
-48,-20
60,45
165,317
288,-17
141,218
91,-100
-18,268
127,11
192,158
9,-32
283,335
266,-86
113,340
123,226
260,249
208,305
32,16
-67,277
4,304
176,147
41,156
23,219
-68,273
-62,236
236,256
-31,138
-25,79
-64,338
268,348
96,315
-92,82
-71,202
293,46
83,79
106,248
-80,-3
106,195
175,295
300,143
71,147
-45,-67
86,-13
-82,340
62,348
90,177
1,42
103,236
295,-45
112,-73
69,22
66,241
92,114
186,289
12,105
131,319
46,274
223,-71
-63,148
196,44
74,188
217,97
-50,193
118,221
126,54
-18,274
78,49
-4,131
120,63
335,143
207,-25
303,332
-65,-47
243,197
168,-89
-18,50
342,0
-16,-2
256,257
-37,97
-26,208
23,207
177,99
268,200
254,-99
289,345
-50,-47
68,339
184,339
33,182
102,29
98,-83
179,51
109,90
196,-39
-93,103
